pair_id,pos_blob_id,neg_blob_id,pos_x,pos_y,neg_x,neg_y,dx_pos_to_neg,dy_pos_to_neg,distance,vector_error,pos_peak_z,neg_peak_abs_z,amplitude_balance,area_ratio,shape_penalty,pos_num_possible_partners,neg_num_possible_partners,num_possible_partners,local_contrast_score,size_mismatch_penalty,partner_ambiguity_penalty,elongation_penalty,confidence_category,score_v2,score
1,159,162,1521.1857961713488,1289.93203644084,1548.3520630583107,1290.6555514069348,27.16626739501953,0.723514974117279,27.175901412963867,1.8732682466506958,26.782533645629883,28.166316986083984,0.9508709874586094,0.9534883720930233,0.0,1,1,1,26.1246339299467,0.046511627906976716,0.0,0.3999999999999999,high_confidence,55.49070266935225,55.49070266935225
2,185,187,993.9655578420156,1464.7560946049477,968.8684415779402,1465.1240741458423,-25.097116470336914,0.3679795265197754,25.09981346130371,3.964406967163086,5.441303253173828,4.557858943939209,0.8376410451449623,0.4,0.0,1,1,1,4.187854336681881,0.6,0.0,0.0,high_confidence,9.392240803821418,9.392240803821418
3,175,182,1194.5384845426422,1396.7688152274354,1163.822266724687,1397.172915746651,-30.716217041015625,0.4041005074977875,30.718873977661133,1.8696458339691162,5.2037353515625,4.089764595031738,0.7859286298646462,0.375,0.5,1,1,1,3.652013839836986,0.625,0.0,0.5,high_confidence,9.118034289338972,9.118034289338972
4,64,72,1663.7007498294931,684.1593418837367,1634.4487710057258,685.7115194117167,-29.251977920532227,1.5521775484085083,29.29313087463379,1.903825044631958,5.472156524658203,4.190565586090088,0.7657978289193464,0.208955223880597,0.5833333333333333,1,1,1,3.699845806931003,0.791044776119403,0.0,0.9166666666666667,high_confidence,8.930216191544638,8.930216191544638
5,127,136,894.1685280216611,1121.9910102365939,865.4781258903968,1120.5025680817828,-28.69040298461914,-1.4884421825408936,28.728986740112305,1.1942049264907837,4.607267379760742,3.9622631072998047,0.8600028565100485,0.4,0.33333333333333326,2,2,2,3.684910348911009,0.6,1.0,0.33333333333333326,high_confidence,8.759100403501916,8.759100403501916
6,161,164,1090.8415303400986,1303.9876524499957,1061.3239021321306,1301.5654484621125,-29.517627716064453,-2.42220401763916,29.616844177246094,2.1509952545166016,3.9896585941314697,3.992480754852295,0.9992931310395434,0.6666666666666666,0.0,1,1,1,3.9882485112199646,0.33333333333333337,0.0,0.0,high_confidence,8.738561317137885,8.738561317137885
7,193,196,1039.5097877167595,1502.8199294272174,1007.016224601353,1502.4851984172462,-32.49356460571289,-0.33473101258277893,32.49528884887695,3.4948177337646484,4.427574634552002,4.291033744812012,0.9691612449230218,0.6,0.16666666666666674,1,1,1,4.224868675470359,0.4,0.0,0.8333333333333333,high_confidence,7.876188668994401,7.876188668994401
8,173,179,974.4991372335687,1380.5084452915648,1002.4908492694027,1384.4999690817824,27.99171257019043,3.9915237426757812,28.27486801147461,3.7929210662841797,3.8706421852111816,3.882214069366455,0.9970192565508986,1.0,0.0,1,1,1,3.86487348954249,0.0,0.0,0.0,high_confidence,7.850434234537344,7.850434234537344
9,133,141,1354.4884420006658,1155.5078140103858,1386.4908385524182,1155.9968439440806,32.00239562988281,0.4890299439430237,32.00613021850586,3.0076093673706055,3.874790668487549,3.926523447036743,0.986824788073471,1.0,0.5,1,1,1,3.8492650743734185,0.0,0.0,0.5,high_confidence,7.771159007985931,7.771159007985931
10,167,169,1133.2532321807944,1333.24495563149,1157.9948822250608,1336.6459040847446,24.741649627685547,3.4009485244750977,24.974300384521484,5.2463860511779785,3.690654993057251,5.602458477020264,0.6587563313847479,0.2222222222222222,0.25,1,1,1,3.060948668345224,0.7777777777777778,0.0,0.25,medium_confidence,7.348544218369131,7.348544218369131
11,35,37,1086.6323258356051,399.16145275712313,1057.8142593523985,405.1664664859533,-28.818065643310547,6.005013942718506,29.437068939208984,6.342319488525391,4.991145610809326,4.066784858703613,0.8147998827956804,0.42857142857142855,0.25,1,1,1,3.6902003424652827,0.5714285714285714,0.0,0.25,medium_confidence,6.98065620512732,6.98065620512732
12,135,144,1143.4962521672483,1163.506207670002,1112.6183076826671,1169.4559126574839,-30.877944946289062,5.949705123901367,31.44593048095703,6.559384346008301,3.893622636795044,4.745003700256348,0.8205731507827259,0.36363636363636365,0.0,1,1,1,3.5443124159144492,0.6363636363636364,0.0,0.0,medium_confidence,6.6818986474308755,6.6818986474308755
13,163,165,1272.8361034213112,1323.1778300257342,1243.9626796320715,1316.4966511157036,-28.873424530029297,-6.681179046630859,29.636341094970703,6.347684860229492,4.112414360046387,4.331395149230957,0.949443359093328,1.0,0.5,1,1,1,4.008459432016234,0.0,0.0,0.5,medium_confidence,6.668853797349254,6.668853797349254
14,171,177,727.9074769154298,1380.14400738926,761.5932869953572,1384.2005648038828,33.68581008911133,4.0565571784973145,33.92918395996094,5.985026836395264,4.454936504364014,3.942354679107666,0.8849407113313001,0.625,0.5,1,1,1,3.715552416578742,0.375,0.0,0.5,medium_confidence,6.487159187936648,6.487159187936648
